lectin,gl_number,uniprot,glycotoucan_id,binding_intensity,stdev,source,concentration
ConA,GL_002303,P02866,G25505UF,0.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G15998WM,0.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G99533GU,1.00,2.00,ASNLinked,0.1
ConA,GL_002303,P02866,G45209NR,1.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G56318NV,1.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G91413ZX,1.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G98366ZJ,1.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G19444JC,1.00,4.00,ASNLinked,0.1
ConA,GL_002303,P02866,G94531EZ,1.00,3.00,ASNLinked,0.1
ConA,GL_002303,P02866,G78030KJ,1.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G39018CC,1.00,3.00,ASNLinked,0.1
ConA,GL_002303,P02866,G72506RN,2.00,4.00,ASNLinked,0.1
ConA,GL_002303,P02866,G00176HZ,5.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G18938DW,6.00,1.00,ASNLinked,0.1
ConA,GL_002303,P02866,G63889NK,10.00,3.00,ASNLinked,0.1
ConA,GL_002303,P02866,G28800UK,12.00,6.00,ASNLinked,0.1
ConA,GL_002303,P02866,G66665YI,15.00,26.00,ASNLinked,0.1
ConA,GL_002303,P02866,G20030CU,109.00,10.00,ASNLinked,0.1
ConA,GL_002303,P02866,G29857RC,139.00,25.00,ASNLinked,0.1
ConA,GL_002303,P02866,G86357DX,188.00,12.00,ASNLinked,0.1
ConA,GL_002303,P02866,G45359RY,505.00,31.00,ASNLinked,0.1
ConA,GL_002303,P02866,G79809MM,737.00,55.00,ASNLinked,0.1
ConA,GL_002303,P02866,G10219AA,807.00,19.00,ASNLinked,0.1
ConA,GL_002303,P02866,G80393PG,1697.00,152.00,ASNLinked,0.1
ConA,GL_002303,P02866,G77252PU,1724.00,22.00,ASNLinked,0.1
ConA,GL_002303,P02866,G29011JC,1731.00,84.00,ASNLinked,0.1
ConA,GL_002303,P02866,G17689DH,1758.00,82.00,ASNLinked,0.1
ConA,GL_002303,P02866,G39213VZ,2066.00,17.00,ASNLinked,0.1
ConA,GL_002303,P02866,G80858MF,2163.00,77.00,ASNLinked,0.1
ConA,GL_002303,P02866,G61207RZ,2168.00,126.00,ASNLinked,0.1
ConA,GL_002303,P02866,G84467IZ,2305.00,134.00,ASNLinked,0.1
ConA,GL_002303,P02866,G56749GV,2344.00,203.00,ASNLinked,0.1
ConA,GL_002303,P02866,G66741YQ,3407.00,142.00,ASNLinked,0.1
ConA,GL_002303,P02866,G73866ZM,3803.00,135.00,ASNLinked,0.1
ConA,GL_002303,P02866,G36191CD,4103.00,179.00,ASNLinked,0.1
ConA,GL_002303,P02866,G78059CC,4260.00,146.00,ASNLinked,0.1
ConA,GL_002303,P02866,G22768VO,4912.00,172.00,ASNLinked,0.1
ConA,GL_002303,P02866,G03652TR,7442.00,745.00,ASNLinked,0.1
ConA,GL_002303,P02866,G56318NV,-0.50,1.00,ASNLinked,1
ConA,GL_002303,P02866,G99533GU,0.25,1.26,ASNLinked,1
ConA,GL_002303,P02866,G45209NR,0.25,0.50,ASNLinked,1
ConA,GL_002303,P02866,G91413ZX,1.25,0.96,ASNLinked,1
ConA,GL_002303,P02866,G28800UK,1.25,1.50,ASNLinked,1
ConA,GL_002303,P02866,G72506RN,1.25,0.96,ASNLinked,1
ConA,GL_002303,P02866,G66665YI,1.25,0.50,ASNLinked,1
ConA,GL_002303,P02866,G15998WM,1.50,1.73,ASNLinked,1
ConA,GL_002303,P02866,G94531EZ,1.50,4.36,ASNLinked,1
ConA,GL_002303,P02866,G25505UF,1.75,1.50,ASNLinked,1
ConA,GL_002303,P02866,G78030KJ,1.75,1.26,ASNLinked,1
ConA,GL_002303,P02866,G98366ZJ,1.75,0.96,ASNLinked,1
ConA,GL_002303,P02866,G39018CC,3.00,3.37,ASNLinked,1
ConA,GL_002303,P02866,G19444JC,38.75,78.84,ASNLinked,1
ConA,GL_002303,P02866,G63889NK,42.00,11.11,ASNLinked,1
ConA,GL_002303,P02866,G18938DW,57.25,2.63,ASNLinked,1
ConA,GL_002303,P02866,G00176HZ,145.25,2.75,ASNLinked,1
ConA,GL_002303,P02866,G20030CU,427.00,114.55,ASNLinked,1
ConA,GL_002303,P02866,G29857RC,451.00,166.19,ASNLinked,1
ConA,GL_002303,P02866,G86357DX,511.25,15.97,ASNLinked,1
ConA,GL_002303,P02866,G45359RY,1216.25,344.81,ASNLinked,1
ConA,GL_002303,P02866,G79809MM,2459.75,787.51,ASNLinked,1
ConA,GL_002303,P02866,G77252PU,3603.50,68.36,ASNLinked,1
ConA,GL_002303,P02866,G10219AA,3834.50,1328.07,ASNLinked,1
ConA,GL_002303,P02866,G17689DH,4217.00,553.71,ASNLinked,1
