compound,dHs_25C_kJ_mol,err_25C,dHs_35C_kJ_mol,err_35C,dCp_30C_J_K_mol,dCp_err,Cp2star_30C,Cp2bar,V2bar_25C_cm3_mol
a-D-Glucose,10.7,0.04,12.04,0.12,134,12,223,357,111.7
b-D-Glucose,4.42,0.07,5.7,0.07,128,10,223,351,111.72
D-Galactose,17.2,0.1,18.55,0.09,139,14,217,356,110.64
D-Mannose,6.86,0.06,8.34,0.09,148,11,215,363,110.96
D-Fructose,8.8,0.1,11.2,0.09,242,13,233,475,110.88
L-Sorbose,6.94,0.03,9.11,0.05,217,6,233,450,111.54
D-Arabinose,13.24,0.06,14.58,0.1,134,12,184,318,94.0
D-Xylose,11.98,0.05,12.95,0.07,97,8,184,281,95.6
L-Xylose,12.19,0.08,13.25,0.1,106,13,184,291,95.59
D-Lyxose,10.1,0.01,11.11,0.11,101,12,184,285,95.69
D-Ribose,13.04,0.14,14.14,0.09,110,15,184,294,95.56
2-Deoxy-D-Glucose,9.43,0.06,11.23,0.15,180,16,201,381,110.45
2-Deoxy-D-Galactose,10.91,0.1,12.7,0.17,180,10,201,386,
6-Deoxy-D-Galactose,1.97,0.1,3.9,0.07,193,12,201,394,
2-Deoxy-D-Ribose,10.73,0.13,12.39,0.09,169,18,164,333,93.8
