transformation,delta_dCp_J_K_mol,delta_dCp_per_OH,delta_V2_cm3_mol,delta_V2_per_OH
THPA -> Sorbose,102,25.5,3.44,0.86
THPA -> Fructose,127,31.75,2.78,0.69
THPA -> Glucose(a/b),19,4.75,3.6,0.9
THPA -> Glucose(a/b) lit2,13,3.25,3.62,0.9
THPA -> Galactose,24,6,2.54,0.63
THPA -> Mannose,33,8.25,2.86,0.72
THP -> Arabinose,-22,-5.5,3.4,0.85
THP -> Lyxose,-55,-13.75,5.09,1.27
THP -> Xylose,-59,-14.75,5.0,1.25
THP -> Ribose,-59,-14.75,4.96,1.24
THPA -> 2-Deoxyglucose,65,22,2.3,0.76
THP -> 2-Deoxyribose,13,6.5,3.2,1.6
