lfdb_id,lectin,specificity,glycotoucan_id,Ka_x10e4_per_M,source
LfDB0159,Conarva (ConA-like),Man/Glc,G84440YT,150.011,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G50205RT,101.096,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G21251LN,84.070,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G71606HZ,77.266,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G84783YG,66.538,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G04681PT,53.389,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G79446WY,46.715,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G62167DK,46.421,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G81436EU,41.605,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G83131MU,39.172,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G19083SI,36.220,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G10179FS,32.737,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G13974DV,31.291,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G09675DY,27.583,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G25162JS,24.544,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G16276IK,21.756,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G33192XL,20.268,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G07990UY,20.250,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G77712UR,16.806,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G16768LX,14.346,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G32915BP,12.843,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G06550JR,11.860,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G24673RP,9.337,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G09362PR,8.977,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G38426SE,8.446,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G49859TR,6.498,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),Man/Glc,G74609HP,5.086,LfDB/FAC/GlyCosmos
