lfdb_id,lectin,glycotoucan_id,iupac_name,glycan_class,mass_Da,Ka_x10e4_per_M,source
LfDB0159,Conarva (ConA-like),G84440YT,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1845.69,150.011,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G50205RT,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1683.63,101.096,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G21251LN,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1521.58,84.070,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G71606HZ,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1991.75,77.266,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G84783YG,Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,oligosaccharide,750.29,66.538,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G04681PT,Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1398.5,53.389,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G79446WY,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1933.7,46.715,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G62167DK,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,912.34,46.421,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G81436EU,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1667.64,41.605,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G83131MU,Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1277.48,39.172,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G19083SI,Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1115.42,36.220,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G10179FS,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1642.61,32.737,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G13974DV,Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1236.45,31.291,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G09675DY,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2224.8,27.583,LfDB/FAC/GlyCosmos
LfDB0159,Conarva (ConA-like),G25162JS,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1277.48,24.544,LfDB/FAC/GlyCosmos
