lfdb_id,lectin,specificity,glycotoucan_id,Ka_x10e4_per_M,source
LfDB0065,Galectin-3 (Human) CRD,Gal,G92133LY,270.848,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G49017YR,126.100,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G83173HC,72.830,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G06212IB,72.703,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G52751JW,49.741,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G48493JV,39.360,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G10179FS,30.055,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G42830YF,29.440,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G44327JQ,25.920,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G58350LJ,23.680,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G86906WK,21.432,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G75236EF,20.480,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G16768LX,19.237,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G97691ZT,19.030,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G86157UQ,18.672,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G78513KA,18.215,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G69176ID,18.192,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G98490BN,15.360,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G94671TE,14.916,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G97553BW,14.262,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G74026TS,14.000,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G46491JP,13.687,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G25132GJ,13.672,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G77495MG,12.852,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G53812EH,12.543,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G84440YT,12.383,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G88981LD,11.926,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G71606HZ,10.772,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G25268QT,10.556,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G24673RP,8.581,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G87832BF,8.242,LfDB/FAC/GlyCosmos
