lfdb_id,lectin,glycotoucan_id,iupac_name,glycan_class,mass_Da,Ka_x10e4_per_M,source
LfDB0065,Galectin-3 (Human) CRD,G92133LY,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,polysaccharide,1845.69,270.848,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G49017YR,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,polysaccharide,1115.42,126.100,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G83173HC,Gal(a1-3)GlcNAc(a1-3)Gal(b1-4)GlcNAc(a1-3)Gal(b1-4)Glc-ol,polysaccharide,1074.4,72.830,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G06212IB,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,1058.4,72.703,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G52751JW,Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,871.32,49.741,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G48493JV,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,oligosaccharide,750.29,39.360,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G10179FS,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1642.61,30.055,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G42830YF,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2372.87,29.440,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G44327JQ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2153.8,25.920,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G58350LJ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2007.74,23.680,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G86906WK,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,855.32,21.432,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G75236EF,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2518.93,20.480,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G16768LX,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1788.67,19.237,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G97691ZT,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc-ol,oligosaccharide,652.24,19.030,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G86157UQ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2518.93,18.672,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G78513KA,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2194.82,18.215,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G69176ID,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,polysaccharide,1074.4,18.192,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G98490BN,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2007.74,15.360,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G94671TE,Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2194.82,14.916,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G97553BW,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2079.76,14.262,LfDB/FAC/GlyCosmos
