lfdb_id,lectin,specificity,glycotoucan_id,Ka_x10e4_per_M,source
LfDB0056,Galectin-3 (Human),Gal,G92133LY,591.090,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G49017YR,412.511,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G83173HC,190.782,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G06212IB,170.269,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G42830YF,157.866,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G75236EF,157.012,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G58350LJ,155.102,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G44327JQ,135.393,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G98490BN,130.665,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G97553BW,120.881,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G69176ID,115.321,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G52751JW,114.711,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G24673RP,110.502,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G86157UQ,107.571,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G10179FS,98.547,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G74026TS,94.139,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G16768LX,92.279,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G86906WK,91.463,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G84440YT,85.292,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G25132GJ,82.960,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G48493JV,82.254,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G71606HZ,79.389,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G77495MG,75.911,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G97691ZT,75.013,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G53812EH,60.027,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G25268QT,49.847,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G88981LD,45.628,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G87832BF,45.004,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G49859TR,36.425,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G74609HP,30.028,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G37918PT,29.934,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),Gal,G83131MU,29.569,LfDB/FAC/GlyCosmos
