lfdb_id,lectin,glycotoucan_id,iupac_name,glycan_class,mass_Da,Ka_x10e4_per_M,source
LfDB0056,Galectin-3 (Human),G92133LY,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,polysaccharide,1845.69,591.090,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G49017YR,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,polysaccharide,1115.42,412.511,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G83173HC,Gal(a1-3)GlcNAc(a1-3)Gal(b1-4)GlcNAc(a1-3)Gal(b1-4)Glc-ol,polysaccharide,1074.4,190.782,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G06212IB,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,1058.4,170.269,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G42830YF,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2372.87,157.866,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G75236EF,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2518.93,157.012,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G58350LJ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2007.74,155.102,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G44327JQ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2153.8,135.393,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G98490BN,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2007.74,130.665,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G97553BW,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2079.76,120.881,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G69176ID,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,polysaccharide,1074.4,115.321,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G52751JW,Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,871.32,114.711,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G24673RP,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,polysaccharide,1074.4,110.502,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G86157UQ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2518.93,107.571,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G10179FS,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1642.61,98.547,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G74026TS,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2370.86,94.139,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G16768LX,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1788.67,92.279,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G86906WK,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,855.32,91.463,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G84440YT,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1845.69,85.292,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G25132GJ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2153.8,82.960,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G48493JV,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,oligosaccharide,750.29,82.254,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G71606HZ,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1991.75,79.389,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G77495MG,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,709.26,75.911,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G97691ZT,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc-ol,oligosaccharide,652.24,75.013,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G53812EH,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,855.32,60.027,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G25268QT,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,709.26,49.847,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G88981LD,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,1017.37,45.628,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G87832BF,Gal(b1-3)Gal(b1-3)Gal(b1-3)Gal(b1-3)Gal(b1-4)Glc-ol,polysaccharide,992.34,45.004,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G49859TR,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,1001.38,36.425,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G74609HP,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,855.32,30.028,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G37918PT,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc-ol,oligosaccharide,693.27,29.934,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G83131MU,Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1277.48,29.569,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G36876NJ,Gal(b1-3)Gal(b1-3)Gal(b1-3)Gal(b1-4)Glc-ol,polysaccharide,830.29,29.157,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G85843WY,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1480.55,27.547,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G32915BP,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1626.61,26.815,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G06550JR,GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1480.55,26.397,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G07990UY,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1933.7,25.968,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G08453FV,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,1204.46,25.590,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G16276IK,Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1423.53,25.399,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G70374BH,GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1626.61,24.358,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G50205RT,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1683.63,24.040,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G79446WY,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1933.7,23.930,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G59487HS,Gal(b1-3)Gal(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,668.24,21.577,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G51497IR,GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc-ol,polysaccharide,912.34,13.959,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G69180XT,Gal(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,506.18,12.755,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G09630SJ,Gal(b1-6)Man-ol,disaccharide,344.13,10.721,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G09126MW,Gal(b1-4)GlcNAc-ol,disaccharide,385.16,7.567,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G35223CU,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc-ol,oligosaccharide,709.26,5.330,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G87598ZK,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1642.61,4.450,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G84053BQ,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1464.56,2.565,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G65070LF,Fuc(a1-2)Gal(b1-4)Glc-ol,oligosaccharide,490.19,1.923,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G81436EU,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1667.64,1.869,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G13947MP,Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,oligosaccharide,750.29,1.407,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G19949UL,Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1398.5,1.210,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G77712UR,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1058.4,0.879,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G04681PT,Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1398.5,0.777,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G66257KQ,Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1884.66,0.720,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G38426SE,,unknown,,0.637,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G01434UY,Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc-ol,oligosaccharide,1000.36,0.358,LfDB/FAC/GlyCosmos
LfDB0056,Galectin-3 (Human),G26039ES,Gal(b1-4)Glc-ol,disaccharide,344.13,0.318,LfDB/FAC/GlyCosmos
