lfdb_id,lectin,specificity,glycotoucan_id,Ka_x10e4_per_M,source
LfDB0172,PNA,Gal,G75829VK,64.261,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G01434UY,32.180,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G57641IF,22.932,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G59487HS,7.922,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G36876NJ,7.493,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G87832BF,7.475,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G26039ES,6.368,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G69180XT,6.136,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G09126MW,2.356,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G84440YT,2.159,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G83173HC,2.073,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G25268QT,2.071,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G07558KL,1.800,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G53858MF,1.768,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G54457LW,1.672,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G23361LI,1.450,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G52751JW,1.438,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G59707MY,1.367,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G49608TR,1.336,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G77495MG,1.326,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G53238US,1.231,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G88981LD,1.002,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G76320TN,0.811,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G76283HO,0.794,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G35223CU,0.783,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G69176ID,0.764,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G25162JS,0.710,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G06212IB,0.612,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G77220UE,0.520,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G09362PR,0.438,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G24673RP,0.424,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G97691ZT,0.344,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G86906WK,0.285,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G78603EO,0.271,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G87825QP,0.254,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G49017YR,0.216,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G98490BN,0.147,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G88502NV,0.076,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G53812EH,0.072,LfDB/FAC/GlyCosmos
LfDB0172,PNA,Gal,G21251LN,0.070,LfDB/FAC/GlyCosmos
