lfdb_id,lectin,glycotoucan_id,iupac_name,glycan_class,mass_Da,Ka_x10e4_per_M,source
LfDB0172,PNA,G75829VK,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc-ol,oligosaccharide,709.26,64.261,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G01434UY,Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc-ol,oligosaccharide,1000.36,32.180,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G57641IF,Neu5Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc-ol,oligosaccharide,1291.45,22.932,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G59487HS,Gal(b1-3)Gal(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,668.24,7.922,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G36876NJ,Gal(b1-3)Gal(b1-3)Gal(b1-3)Gal(b1-4)Glc-ol,polysaccharide,830.29,7.493,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G87832BF,Gal(b1-3)Gal(b1-3)Gal(b1-3)Gal(b1-3)Gal(b1-4)Glc-ol,polysaccharide,992.34,7.475,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G26039ES,Gal(b1-4)Glc-ol,disaccharide,344.13,6.368,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G69180XT,Gal(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,506.18,6.136,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G09126MW,Gal(b1-4)GlcNAc-ol,disaccharide,385.16,2.356,LfDB/FAC/GlyCosmos
LfDB0172,PNA,G84440YT,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1845.69,2.159,LfDB/FAC/GlyCosmos
