lfdb_id,lectin,specificity,glycotoucan_id,Ka_x10e4_per_M,source
LfDB0166,SBA,GalNAc,G51497IR,92.441,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G76283HO,63.508,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G23361LI,55.154,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G35223CU,43.817,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G39932JF,12.479,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G42830YF,10.008,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G98490BN,9.129,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G75236EF,9.101,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G58350LJ,8.127,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G46491JP,8.001,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G44327JQ,7.955,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G86157UQ,7.547,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G84440YT,7.161,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G16768LX,6.542,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G25162JS,6.527,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G10179FS,6.278,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G38085YD,5.916,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G09126MW,5.492,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G59487HS,5.454,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G94671TE,5.319,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G71606HZ,5.264,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G83173HC,4.876,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G32915BP,4.851,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G26039ES,4.796,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G37918PT,4.501,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G55979JS,4.228,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G99242KO,4.182,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G48493JV,4.039,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G53858MF,3.955,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G52751JW,3.897,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G36876NJ,3.838,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G69180XT,3.759,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G75829VK,3.749,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G06212IB,3.737,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G06550JR,3.724,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G09675DY,3.654,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G70374BH,3.619,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G07990UY,3.614,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G16276IK,3.568,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G65070LF,3.468,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G09362PR,3.441,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G83131MU,3.375,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G49017YR,3.360,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G50205RT,3.288,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G87832BF,3.226,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G69176ID,3.214,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G88981LD,3.204,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G57641IF,3.185,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G25268QT,3.178,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G92133LY,3.106,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G01434UY,3.051,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G13947MP,2.943,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G77712UR,2.942,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G77495MG,2.863,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G78513KA,2.671,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G79446WY,2.446,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G84170WO,2.239,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G08453FV,2.224,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G24673RP,2.213,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G75367YS,2.160,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G97691ZT,2.136,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G33192XL,2.134,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G13974DV,2.112,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G21251LN,2.070,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G13869TL,2.036,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G79890BQ,2.008,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G70358QM,1.960,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G15317IZ,1.959,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G66257KQ,1.931,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G04681PT,1.915,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G81436EU,1.850,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G19083SI,1.798,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G49608TR,1.787,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G54457LW,1.771,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G84053BQ,1.757,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G88502NV,1.755,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G19949UL,1.747,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G35442CG,1.743,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G77220UE,1.728,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G07558KL,1.652,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G84783YG,1.611,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G87825QP,1.555,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G91089ZR,1.347,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G91556EH,1.196,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G09112SH,1.062,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G16717IV,1.051,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G38426SE,1.012,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G74609HP,0.968,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G59707MY,0.921,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G78603EO,0.788,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G60785FE,0.773,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G68511OZ,0.746,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G76320TN,0.618,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G53812EH,0.600,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G49859TR,0.072,LfDB/FAC/GlyCosmos
LfDB0166,SBA,GalNAc,G86906WK,0.029,LfDB/FAC/GlyCosmos
