lfdb_id,lectin,glycotoucan_id,iupac_name,glycan_class,mass_Da,Ka_x10e4_per_M,source
LfDB0166,SBA,G51497IR,GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc-ol,polysaccharide,912.34,92.441,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G76283HO,Gal(a1-4)Gal(b1-4)Glc-ol,oligosaccharide,506.18,63.508,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G23361LI,GalNAc(b1-4)Gal(b1-4)Glc-ol,oligosaccharide,547.21,55.154,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G35223CU,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc-ol,oligosaccharide,709.26,43.817,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G39932JF,Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc-ol,oligosaccharide,838.31,12.479,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G42830YF,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2372.87,10.008,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G98490BN,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2007.74,9.129,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G75236EF,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2518.93,9.101,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G58350LJ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2007.74,8.127,LfDB/FAC/GlyCosmos
LfDB0166,SBA,G46491JP,Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2356.88,8.001,LfDB/FAC/GlyCosmos
