lfdb_id,lectin,specificity,glycotoucan_id,Ka_x10e4_per_M,source
LfDB0163,WGA,GlcNAc,G87825QP,1357.904,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G78603EO,1189.905,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G87598ZK,286.409,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G71670JD,271.674,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G32820BV,188.330,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G85723NH,169.451,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G24673RP,59.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G69176ID,52.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G92133LY,21.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G53858MF,21.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G84783YG,19.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G14469GR,14.800,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G37641EM,10.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G49017YR,10.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G19083SI,9.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G51497IR,9.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G32915BP,9.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G52751JW,8.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G37918PT,7.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G35442CG,7.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G70358QM,6.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G99242KO,6.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G48493JV,5.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G77495MG,5.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G21251LN,5.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G54457LW,5.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G68511OZ,5.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G35173NI,5.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G09112SH,4.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G53238US,4.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G50205RT,4.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G81436EU,4.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G06212IB,4.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G25296NU,4.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G07558KL,4.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G75367YS,3.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G35223CU,3.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G91556EH,3.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G83173HC,3.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G67280SN,3.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G09126MW,3.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G00090SL,3.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G65070LF,3.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G25162JS,2.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G19949UL,2.800,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G34125LS,2.800,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G70374BH,2.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G68650XP,2.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G74026TS,2.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G59487HS,2.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G06550JR,2.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G69180XT,2.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G23361LI,2.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G58350LJ,2.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G44327JQ,2.200,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G49608TR,2.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G68650XP,2.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G09630SJ,2.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G25268QT,1.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G83131MU,1.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G16717IV,1.800,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G13974DV,1.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G86906WK,1.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G79890BQ,1.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G57641IF,1.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G75236EF,1.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G60785FE,1.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G13869TL,1.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G75829VK,1.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G42830YF,1.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G86157UQ,1.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G39932JF,1.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G72344YZ,1.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G78288HH,1.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G73241DK,0.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G09362PR,0.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G15317IZ,0.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G08453FV,0.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G77220UE,0.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G03454MW,0.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G84440YT,0.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G04681PT,0.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G23118AT,0.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G97553BW,0.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G84053BQ,0.200,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G10179FS,0.200,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G49859TR,0.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,GlcNAc,G38426SE,0.100,LfDB/FAC/GlyCosmos
