lfdb_id,lectin,glycotoucan_id,iupac_name,glycan_class,mass_Da,Ka_x10e4_per_M,source
LfDB0163,WGA,G87825QP,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc-ol,oligosaccharide,832.34,1357.904,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G78603EO,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc-ol,oligosaccharide,629.26,1189.905,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G87598ZK,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1642.61,286.409,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G71670JD,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1683.63,271.674,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G32820BV,GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Man(a1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1845.69,188.330,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G85723NH,GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2007.74,169.451,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G24673RP,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,polysaccharide,1074.4,59.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G69176ID,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,polysaccharide,1074.4,52.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G92133LY,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,polysaccharide,1845.69,21.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G53858MF,GlcNAc(b1-2)[Gal(b1-3)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1683.63,21.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G84783YG,Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,oligosaccharide,750.29,19.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G14469GR,Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,oligosaccharide,588.24,14.800,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G37641EM,Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,oligosaccharide,734.3,10.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G49017YR,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,polysaccharide,1115.42,10.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G19083SI,Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1115.42,9.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G51497IR,GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc-ol,polysaccharide,912.34,9.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G32915BP,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1626.61,9.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G52751JW,Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,871.32,8.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G37918PT,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc-ol,oligosaccharide,693.27,7.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G35442CG,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1560.55,7.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G70358QM,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1722.61,6.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G99242KO,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-6)]GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,3172.12,6.000,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G48493JV,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-ol,oligosaccharide,750.29,5.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G77495MG,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,709.26,5.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G21251LN,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1521.58,5.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G54457LW,Neu5Ac(a2-3)Gal(b1-4)Glc-ol,disaccharide,635.23,5.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G68511OZ,Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc-ol,oligosaccharide,1291.45,5.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G35173NI,Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc-ol,polysaccharide,1190.44,5.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G09112SH,Neu5Ac(a2-8)Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc-ol,oligosaccharide,1582.55,4.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G53238US,Glc(a1-4)Glc(a1-4)Glc-ol,oligosaccharide,506.18,4.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G50205RT,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1683.63,4.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G81436EU,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1667.64,4.500,LfDB/FAC/GlyCosmos
