GlyCosmos Lectin Number,LfDB ID,Short name,Pfam Labels,Specificities,Organism,GlyTouCan ID,Value
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G87825QP,0.008
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G49859TR,0.080
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G08453FV,0.089
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G13947MP,0.169
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G74609HP,0.286
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G21251LN,0.329
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G76283HO,0.482
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G68650XP,0.484
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G35223CU,0.485
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G73241DK,0.538
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G75829VK,0.543
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G09630SJ,0.594
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G88981LD,0.687
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G39932JF,0.699
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G68650XP,0.716
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G01434UY,0.774
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G65070LF,1.037
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G77220UE,1.094
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G09362PR,1.117
GL_000001,LfDB0050,C16|CG-16,Gal-bind_lectin,"Gal","Gallus gallus",G51497IR,1.117
