GlyCosmos Lectin Number,Lectin Name,Short name,UniProt ID,PDB IDs,LfDB ID,Monosaccharide Specificity,Organism,Taxonomy ID,MCAW IDs
GL_001542,"Glucans biosynthesis protein D","",Q4UNU8,"","","",Xanthomonas campestris pv. campestris str. 8004,314565,""
GL_001402,"Chitinase D","",P27050,"","","",Niallia circulans,1397,""
GL_005022,"PKHD-type hydroxylase BURPS668_A1690","",A3NK14,"","","",Burkholderia pseudomallei 668,320373,""
GL_001258,"Arabinoxylan arabinofuranohydrolase","",Q45071,"3C7E|3C7F|3C7G|3C7H|3C7O","","",Bacillus subtilis subsp. subtilis str. 168,224308,""
GL_000728,"Lectin-1","",P84870,"","","",Hypnea cervicornis,387623,""
GL_002499,"Glucokinase","",Q1CJU5,"","","",Yersinia pestis Nepal516,377628,""
GL_001566,"Glucans biosynthesis protein G","",Q6N5U4,"","","",Rhodopseudomonas palustris CGA009,258594,""
GL_005272,"PKHD-type hydroxylase Bxeno_B2756","",Q13JL5,"","","",Paraburkholderia xenovorans LB400,266265,""
GL_003689,"Glucose-6-phosphate isomerase","",A5U0Y6,"","","",Mycobacterium tuberculosis H37Ra,419947,""
GL_004174,"ATP-dependent 6-phosphofructokinase","",Q83EH9,"","","",Coxiella burnetii RSA 493,227377,""
GL_003937,"Glucose-6-phosphate isomerase","",B6J6S3,"","","",Coxiella burnetii CbuK_Q154,434924,""
GL_001212,"Alpha-galactosidase","",G4FEF4,"1ZY9|5M0X|5M12|5M16|5M1I|6GTA|6GVD|6GWF|6GWG|6GX8","","",Thermotoga maritima MSB8,243274,""
GL_003632,"Glucose-6-phosphate isomerase","",A6TGT4,"","","",Klebsiella pneumoniae subsp. pneumoniae MGH 78578,272620,""
GL_000036,"Agglutinin beta-1 chain isoform 1 (Fragment)","",P83424,"","","",Morus nigra,85232,""
GL_003803,"Glucose-6-phosphate isomerase","",Q6GAW4,"","","",Staphylococcus aureus subsp. aureus MSSA476,282459,""
GL_000414,"G-type lectin S-receptor-like serine/threonine-protein kinase At1g11303","",Q9SXB5,"","","",Arabidopsis thaliana,3702,""
GL_003480,"Glucose-6-phosphate isomerase 1","",Q0S539,"","","",Rhodococcus jostii RHA1,101510,""
GL_003817,"D-ribose pyranase","",B2K7I5,"","","",Yersinia pseudotuberculosis PB1/+,502801,""
GL_000902,"Polypeptide N-acetylgalactosaminyltransferase 15","",Q8N3T1,"","","",Homo sapiens,9606,""
GL_004176,"Glucose-6-phosphate isomerase","",Q8UI94,"","","",Agrobacterium fabrum str. C58,176299,""
GL_002693,"Glucokinase","",P58616,"","","",Nostoc sp. PCC 7120 = FACHB-418,103690,""
GL_004445,"ATP-dependent 6-phosphofructokinase","",P65691,"","","",Mycobacterium tuberculosis variant bovis AF2122/97,233413,""
GL_000878,"Polycystin-1-like protein 2","",Q7TN88,"","","",Mus musculus,10090,""
GL_002171,"Tail fiber protein","",I2GUG1,"4Y9V","","",Acinetobacter phage AP22,1187128,""
GL_001262,"ATP-dependent 6-phosphofructokinase, muscle type","",P47857,"","","",Mus musculus,10090,""
GL_004183,"Glucose-6-phosphate isomerase","",Q3ASZ0,"","","",Chlorobium chlorochromatii CaD3,340177,""
GL_000875,"Polycystin-1","",O08852,"","","",Mus musculus,10090,""
GL_002928,"Exoglucanase 1","",P19355,"","","",Trichoderma viride,5547,""
GL_001552,"Glucans biosynthesis protein D","",Q8P3C6,"","","",Xanthomonas campestris pv. campestris str. ATCC 33913,190485,""
GL_004074,"Glucose-6-phosphate isomerase","",Q31TX1,"","","",Shigella boydii Sb227,300268,""
GL_002500,"Glucose 1-dehydrogenase 2","",Q97UH6,"","","",Saccharolobus solfataricus P2,273057,""
GL_002356,"Tenascin","",P24821,"1TEN|2RB8|2RBL|5R5T|5R5U|5R5V|5R5W|5R5X|5R5Y|5R5Z|5R60|5R61|5R62|5R63|6BRB|6QNV|8FN8|8FNB","","",Homo sapiens,9606,""
GL_000664,"Lactose-binding lectin l-2","",Q90WJ8,"","","",Anguilla japonica,7937,""
GL_004432,"Glucose-6-phosphate isomerase","",B5QYI4,"","","",Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,550537,""
