source,doi,table,host,guest,solvent,T_K,log_K,dG_kJ_mol,dH_kJ_mol,TdS_kJ_mol,method,orig_ref,notes
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,D-fructose,H2O,298,1.72,-9.8,-0.05,9.8,cal,37,entropy-driven
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,D-galactose,H2O,298,1.19,-6.8,-0.32,6.5,cal,37,entropy-driven
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,D-glucose,H2O,298,1.56,-8.9,-0.14,8.8,cal,37,entropy-driven
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,D-glucose,H2O,298,2.65,-15.1,-46,-31,uv/cal,232,controversial_data_flagged_by_authors
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,D-mannose,H2O,298,1.77,-10.1,-0.11,10.0,cal,37,entropy-driven
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,D-xylose,H2O,298,1.57,-9.0,-0.09,8.9,cal,37,entropy-driven
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,DL-xylose,H2O,298,1.42,-8.1,-0.11,8.0,cal,37,entropy-driven
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,L-xylose,H2O,298,2.07,-11.8,-0.12,11.7,cal,37,entropy-driven
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,D-arabinose,H2O,298,1.21,-6.9,-0.4,6.5,cal,37,entropy-driven
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,D-glucose,H2O (pH 7.0),298,-0.22,1.3,1.6,0.3,fl/cal,141,repulsive_binding_negative_logK
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,D-glucose,H2O,298,2.62,-15.0,-63,-48,uv/cal,232,controversial_data_flagged_by_authors
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,D-xylose,H2O,298,1.22,-7.0,-0.62,6.3,cal,37,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,DL-xylose,H2O,298,1.06,-6.1,-1.12,4.9,cal,37,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,L-xylose,H2O,298,1.32,-7.5,-0.87,6.6,cal,37,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,hexyl-β-D-glucopyranoside,H2O (pH 6.9),298,2.92,-16.69,-18.5,-1.8,cal,13,glucopyranoside_excluded_from_cavity
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,phenyl-β-D-glucopyranoside,H2O (pH 6.9),298,0.98,-5.6,-21,-16,cal,13,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,4-nitrophenyl-β-D-galactoside,H2O,298,1.88,-10.7,-22.6,-11.8,cd,210,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,4-nitrophenyl-β-D-glucosamide,H2O,298,2.06,-11.8,-24.2,-12.5,cd,210,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,4-nitrophenyl-β-D-glucoside,H2O,298,1.87,-10.7,-24.4,-13.7,cd,210,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1α,4-nitrophenyl-β-D-xyloside,H2O,298,2.04,-11.6,-25.4,-13.7,cd,210,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,4-nitrophenyl-β-D-galactoside,H2O,298,1.77,-10.1,-16.9,-6.7,cd,210,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,4-nitrophenyl-β-D-glucosamide,H2O,298,1.90,-10.8,-18.5,-7.7,cd,210,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,4-nitrophenyl-β-D-glucoside,H2O,298,1.57,-8.8,-15.4,-6.4,cd,210,
"Rekharsky & Inoue, Chem Rev 1998, 98, 1875-1917",10.1021/cr970015o,1,1β,4-nitrophenyl-β-D-xyloside,H2O,298,1.78,-10.1,-17.3,-7.1,cd,210,
